"Website","Product Name","Price","Image URL","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10","Specification 11","Specification 12","Specification 13","Specification 14","Specification 15","Specification 16","Specification 17","Specification 18","Specification 19","Specification 20","Specification 21","Specification 22","Specification 23","Specification 24","Specification 25","Specification 26","Specification 27","Specification 28","Specification 29","Specification 30","Specification 31","Specification 32","Specification 33","Specification 34","Specification 35","Specification 36","Specification 37","Specification 38","Specification 39","Specification 40","Specification 41","Specification 42","Specification 43","Specification 44","Specification 45","Specification 46","Specification 47","Specification 48","Specification 49","Specification 50","Specification 51","Specification 52","Specification 53","Specification 54","Specification 55","Specification 56","Specification 57","Specification 58","Specification 59","Specification 60","Specification 61","Specification 62","Specification 63","Specification 64","Specification 65","Specification 66","Specification 67","Specification 68","Specification 69","Specification 70","Specification 71","Specification 72","Specification 73","Specification 74","Specification 75","Specification 76","Specification 77","Specification 78","Specification 79","Specification 80","Specification 81","Specification 82","Specification 83","Specification 84","Specification 85","Specification 86","Specification 87","Specification 88","Specification 89","Specification 90","Specification 91","Specification 92","Specification 93","Specification 94","Specification 95","Specification 96","Specification 97","Specification 98","Specification 99","Specification 100","Specification 101","Specification 102","Specification 103","Specification 104","Specification 105","Specification 106","Specification 107","Specification 108","Specification 109","Specification 110","Specification 111","Specification 112","Specification 113","Specification 114","Specification 115"
"RIVERSOFT","Klima SAMSUNG AR25 AR09TXHQASINEU/AR09TXHQASIXEU INVERTER 9-KA 2.5KW","29999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9992389/1.webp","Ефект на ладење: 2,6 (0,91-3,40)kW","Соодветен за простор: 25m2","Ладење енергетска класа: A++","Енергетска ефикасност SEER: 6,30W/W","Потрошувачка на енергија: 0,45kW/h","Перформанси на греење: 2,9 (0,80-3,30)kW","Соодветен за простор: 20м2","Енергетска класа на греење: A+","Енергетска ефикасност SCOP: 4,00W/W","Потрошувачка на енергија: 0,65kW/h","Внатрешна единица:","Ниво на бучава мин/макс: 20/36dBA","Димензии (H x W x D): 285 x 805 x 194mm","Тежина: 8,0кг","Периферен:","Ниво на бучава: 46dBA","Димензии (HxWxD): 495 x 720 x 270mm","Тежина: 23,2kg","Работна површина: -10/+46С (ладење), -15/+24С (греење)","Еко гас: Р-32","Максимална должина на гасоводот: 15,0m","Максимална висинска разлика: 8,0m","Претходно наполнета должина на цевката: 15,0m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima Haier Tundra PLUS SMART 1U35MEEFRA-1 / AS35TADHRA-CLC Inverter 12-ka","29999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/101384-1/1.webp","СМАРТ ИНВЕРТЕР Клима уред со Ефективен режим за затоплување до -15 степени","WiFi built in","Скриен Дисплеј","5 години гаранција на компресор HITACHI","Бела Боја на внатрешната единица","Тивок режим на работа","12.000BTU","Моќност 3.6KW на ладење (од -10 до 43 степени целзиусови)","3.7KW на греење (од -15 до 24 степени целзиусови)","SCOP (kW):4.1","COP (kW):3.71","SEER (kW):6.4","EER (kW):3.23","Антибактериски Филтер","Авто рестарт","Авто дијагностика","Циркулација на воздух 550 m3/h","Усмерување на воздухот: горе/доле автоматски","лево десно мануелно","природен ветер","Тајмер","Далечински управувач","A+ Енергетска класа на ладење","A++ Енергетска класа на греење","Бучност на внатрешна единица 21/38дб","Бучност на надворешна единица 48дб","Гас за разладување R-32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima MDV MSEPBU-12HRFN8 AE Pro 3.5KW 12-ka Inverter -25 A+++/A++","29999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/47013667/1.webp","Ладење капацитет: 3500 W","Греење капацитет: 3950 W","Енер. класа A+++/A+++","SEER/SCOP: 8.5/4.6","Работен капацитет(kW) :0.87 – 4.54","Работен опсег(C°): -25~50","Греач на надворешна единица","Комперсор","Тип: ROTARY","Бренд: GMCC","Внатрешна единица","Проток на воздух (m3/h): 560/380/290","Ниво на бучавост (dB): 40/33/22/21","Тежина (kg): 10","Димензија (mm): 795x225x295","Надворешна единица Димензија (mm): 805x330x554","Тежина (kg): 28,4","Цевки (mm): 6,35/9,52","Фреон: R32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima VOX IHD12-SIPMW Inverter","30900.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9991287/1.webp","ЕНЕРГЕТСКА КЛАСА A+++ / А++","BTU 12000","КАПАЦИТЕТ ЗА ЛАДЕЊЕ, KW 3,50","КАПАЦИТЕТ ЗА ГРЕЕЊЕ, KW 4,20","НОМИНАЛНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 0,87","НОМИНАЛНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 1,13","ГОДИШНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 149","ГОДИШНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 908","СЕЗОНСКИ СООДНОС Н А ЕНЕРГЕТСКА ЕФИКАСНОСТ ПРИ ЛАДЕЊЕ SEER 8,20","СЕЗОНСКИ КОЕФИЦИЕНТ НА ПЕРФОРМАНСИ ВО ГРЕЕЊЕ SCOP 4,30","РАБОТНА ТЕМПЕРАТУРА, °C -25°C to +49°C","ЦИРКУЛАЦИЈА НА ВОЗДУХ, M?/H 650","БУЧАВА – ВНАТРЕШНА ЕДИНИЦА, DB(A) 54","БУЧАВА – НАДВОРЕШНА ЕДИНИЦА, DB(A) 62","ДИМЕНЗИИ НА ВНАТРЕШНА ЕДИНИЦА Ш X В X Д, MM 881 x 294 x 194","ДИМЕНЗИИ НА НАДВОРЕШНА ЕДИНИЦА Ш X В X Д, MM 785 x 555 x 300","TEЖИНА НА ВНАТРЕШНА ЕДИНИЦА, KG 10","ТЕЖИНА НА НАДВОРЕШНА ЕДИНИЦА, KG 26","ДОПОЛНИТЕЛНИ ИНФОРМАЦИИ Wi-Fi integrated","AutoCleaning","DeepSleep","Брзо ладење и греење","DryingMode","Голем домет на климатизираниот воздух","Флексибилна инсталација","Интелигентно одмрзнување","Самочитење на надворешната единица","Тајмер","Повеќекратна заштита","ГАРАНЦИЈА 60 месеци","ДОКУМЕНТИ Енергетска класа","Список со информации за производот","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima HISENSE Ultra Comfort KE35MR0BG/AS35MR0EW 12-ka Inverter,Wi-Fi,-20,A++/A+","27999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/47013291/1.webp","Основни информации","Тип на апарат: Клима уред","Тип на единицата: Внатрешен","Тип на монтажа: На ѕид","Компактна големина: Да","Режим на работа: Инвертер","Маркетинг категорија на клима уреди: Сплит, Мулти сплит/FreeMatch","Ефикасност","SEER: 3.3 Коефициент SCOP: 3.8","Брзина на надворешниот вентилатор: 3","Брзина на внатрешниот вентилатор: 7","Капацитет на одвлажнување: 1.2","Грејна моќност: 3300","Опсег на грејна моќност (W): 1000-4200","Минимален проток на воздух: 370","Проток на воздух: 550","Број на брзини на вентилатор: 7","Енергетска класа - греење: А+++","Сооднос SEER - ладење: 6.4","SCOP - Сезонски коефициент на искористеност при греење - просек: 4","SCOP - Сезонски коефициент на искористеност при греење - топла зона: 5.101","Управување","Далечинско управување: Далечински управувач","On/off копче: Оn/Off копче","Опсег на поставување на температура: 16-30","Wi-Fi управување: Вградено","Паметен систем за комфор - TMS: Не","Интелигентна работа (AI smart): Не","Паметна гласовна контрола: Да","Humidity control: No","Карактеристики","Автоматско повторно вклучување (при прекин на електрична енергија): Да","Меморија на позицијата на насочувачите: Да","Автоматско работење: Да","Функција за самочистење: Да","Заштита против смрзнување: Да","Ноќен режим на работа - Night mode: Yes, 1","Турбо функција: Да","Ладење: Да","Греење: Да","Одвлажнување: Да","Вентилирање - проветрување: Да","Детекција на истекување на фреон: Не","Тивка работа (SilentPower): Да, 19 dB(A)","Автоматско движење на насочувачите: Да","Заштита од ладен воздух: Да","Автоматско одмрзнување: Да","Функција за работа во итен случај: Да","Заштита од замрзнување (FreezeProtect -15°C): Да","IonTech: Не","Сензор за тело: Не","Повеќедимензионален проток на воздух: Не","Hi-nano Генератор: Не","Двојно самочистење: Не","Свеж воздух: He","LED дисплеј за квалитет на воздух: He","Едноставно инсталирање: Не","Сервисна проверка: Да","Едноставно управување: Да","Service window: No Compressor","E-Heater: No","УВЦ стерилизација: Да","Anti-corrosion protection: Level 1","Hotel function: Yes","Cooling/heating capacity display: Yes","Опрема","Клима уред и филтер за одвлажнување на воздухот: Филтер со активен јаглен, 4 во 1 филтер - витамин Ц,катехин, сребрени јони, ХЕПА,","Двоен одвод на кондензатот: Лево или десно","Термостат за собна температура: Да","Тајмер 24h: Да","Технички податоци","Годишна потрошувачка на електрична енергија при ладење (QCE): 175","Разладувачка течност: R32","Работна температура во режим на греење:-44","Опсег на работна температура во режим на ладење:-65","Дијаметар на кондензациската цевка: 18","Цевка за течност (мм): 6,35","Дијаметар на цевката за разладен медиум (мм): 9,53","Минимална јачина на звукот: 59","Потрошувачка на електрична енергија во режим на мирување: 1 Фреквенција: 50 Hz","Потрошувачка на електрична енергија по час при ладење: 0.97","Потрошувачка на енергија по час при греење: 0.87","Разладна моќност: 3200","Производот содржи еколошки плин: Да","Количество плин: 0.66","Количина изразена во еквивалент CO2 (t): 0.446","Минимален звучен притисок: 24","Минимален звучен притисок: 40","Максимална должина на цевките: 20","Максимална висинска разлика: 10","Просечна грејна моќност","(Pdesignh) - просечна грејна сезона: 2.9","Деклариран капацитет (Pdh(Tj)) - просечна грејна сезона: 2.9","Номинална вредност на струјата при ладење: 4.5","Номинална вредност на струјата при греење: 4","Ширина: 835","Висина: 256","Длабочина: 195","Ширина на спакуван производ: 890","Висина на спакуван производ: 320","Длабочина на спакуван производ: 260","Нето тежина на апаратот: 7.7","Бруто тежина на апаратот: 9.5","Осигурувач: 3.15","Приклучна моќ: 220-240 V","Потрошувачка на ел. енергија при греење: 870","Потрошувачка на ел. енергија при ладење: 970","Моќност за ладење (BTU/h): 12000","Моќност за греење (BTU/h): 12000","Код на надворешна единица: 20015525","Long distance airflow (m): 12","Боја на панелот: White","Статистички приказ на моќноста: Да","Код: 20015494","EAN Код: 6926597759500"
"RIVERSOFT","Klima VOX IFG18-AACT Inverter","32900.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9991284/1.webp","ЕНЕРГЕТСКА КЛАСА A++/A+","BTU 18000","КАПАЦИТЕТ ЗА ЛАДЕЊЕ, KW 5,10","КАПАЦИТЕТ ЗА ГРЕЕЊЕ, KW 5,40","НОМИНАЛНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 1,40","НОМИНАЛНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 1,52","ГОДИШНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 270","ГОДИШНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 1220","СЕЗОНСКИ СООДНОС НА ЕНЕРГЕТСКА ЕФИКАСНОСТ ПРИ ЛАДЕЊЕ SEER 6,60","СЕЗОНСКИ КОЕФИЦИЕНТ НА ПЕРФОРМАНСИ ВО ГРЕЕЊЕ SCOP 4,10","РАБОТНА ТЕМПЕРАТУРА, °C -15°C to +49°C","ЦИРКУЛАЦИЈА НА ВОЗДУХ, M?/H 850","БУЧАВА – ВНАТРЕШНА ЕДИНИЦА, DB(A) 53","БУЧАВА – НАДВОРЕШНА ЕДИНИЦА, DB(A) 59","ДИМЕНЗИИ НА ВНАТРЕШНА ЕДИНИЦА Ш X В X Д, MM 900 ? 310 ? 225","ДИМЕНЗИИ НА НАДВОРЕШНА ЕДИНИЦА Ш X В X Д, MM 715 x 280 x 537","TEЖИНА НА ВНАТРЕШНА ЕДИНИЦА, KG 11","ТЕЖИНА НА НАДВОРЕШНА ЕДИНИЦА, KG 25","ДОПОЛНИТЕЛНИ ИНФОРМАЦИИ Wi-Fi Ready","AutoCleaning","DeepSleep","Брзо ладење и греење","DryingMode","Голем домет на климатизираниот воздух","Флексибилна инсталација","Интелигентно одмрзнување","Самочитење на надворешната единица","Inverter","Повеќекратна заштита","ГАРАНЦИЈА 60 месеци","ДОКУМЕНТИ Енергетска класа","Список со информации за производот","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima DIPLOMAT DAC-180CA Inverter -20 , A++, R32","32999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9992939/1.webp","Тип: Инвертор;","Управување:Далечински;","Моќност во режим на ладење: 5100W;","Моќност во режим на греење: 5130W;","6 степени на брзина на вентилаторот;","Автоматско рестартирање;","Паметен проток на воздух;","Лесен за чистење филтер;","Интелигентно одмрзнување;","Самодијагностика","Тајмер;","Турбо режим","Режим на спиење;","Самочистење;","Филтер за прашина;","Заштита на децата;","Био филтер;","Лед дисплеј","SEER: 6.1;","Енергетска класа: A++;","SCOP медиум: 4.0;","Проток на воздух: 820 m3/h","Греење -20","Ладење 53","Греач на надворешна единица","Бучност на внатрешна единица: 54dB","Бучност на надворешна единица: 63dB","Отстранување на влага: 1,5L/час;","Напон: 220-240V/50Hz;","Напојување: надворешен;","Потрошувачка на енергија во режим на ладење: 1574W;","Потрошувачка на енергија во режим на греење: 1382W;","Разладно средство: R32;","Димензии на внатрешната единица (WxHxD): 920x306x195mm;","Димензии на надворешниот уред (WxHxD): 853x602x349mm;","Нето тежина на внатрешната единица: 11кг;","Нето тежина на надворешната единица: 35кг;","Големина на пакетот на внатрешната единица: 990x380x265mm;","Големина на пакетот на надворешниот уред: 890x628x385mm;","Бруто тежина на внатрешната единица: 13кг;","Бруто тежина на надворешниот уред (без цевки): 38кг;","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima HOOBART HBAX18INV-WMSE2 18-ka Inverter -25 A++/A+","32999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/47014133/1.webp","Инвертер клима уред","Моќност: 5.3kW","Моќност ладење/греење: 5300/5400W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 950m?/h","Работна температура: ладење:-15 - 49/греење:-25 - 32°C","SEER: 6.8","SCOP: 4","Ниво на бучава (Внатрешна единица): 58dB","Годишна потрошувачка на енергија за греење: 1365kWh/a","Годишн","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima VOX IVA8-12JRBW Wi-Fi Black, Inverter 12ka 3.5KW, A++/A+, LCD Display, Fil","33900.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/15964/1.webp","ЕНЕРГЕТСКА КЛАСА A++/A+","BTU 12000","КАПАЦИТЕТ ЗА ЛАДЕЊЕ, KW 3,5","КАПАЦИТЕТ ЗА ГРЕЕЊЕ, KW 3.8","НОМИНАЛНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 1.1","НОМИНАЛНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 1.18","ГОДИШНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 198","ГОДИШНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 938","СЕЗОНСКИ СООДНОС НА ЕНЕРГЕТСКА ЕФИКАСНОСТ ПРИ ЛАДЕЊЕ SEER 6.19","СЕЗОНСКИ КОЕФИЦИЕНТ НА ПЕРФОРМАНСИ ВО ГРЕЕЊЕ SCOP 4.03","РАБОТНА ТЕМПЕРАТУРА, °C -20 °C до 46 °C","ЦИРКУЛАЦИЈА НА ВОЗДУХ, M?/H 600","БУЧАВА – ВНАТРЕШНА ЕДИНИЦА, DB(A) 53","БУЧАВА – НАДВОРЕШНА ЕДИНИЦА, DB(A) 62","ДИМЕНЗИИ НА ВНАТРЕШНА ЕДИНИЦА Ш X В X Д, MM 792 x 292 x 201","ДИМЕНЗИИ НА НАДВОРЕШНА ЕДИНИЦА Ш X В X Д, MM 705 x 530 x 279","TEЖИНА НА ВНАТРЕШНА ЕДИНИЦА, KG 8.5","ТЕЖИНА НА НАДВОРЕШНА ЕДИНИЦА, KG 22.5","ДОДАТНИ ФУНКЦИОНАЛНОСТИ","AutoCleaning","DeepSleep","Filter Anti 2.5 PM","5-step Cleaning","DryingMode","PlasmaSterilization","WiFi integrated","iFeel","Интелигентно одмрзнување","ГАРАНЦИЈА 36 месеци","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima HISENSE ENERGY SE KA35XR0EG/KA35XR0EW INVERTER 3.5KW -22C WI-FI","30990.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/113435/1.webp","Тип на единицата: Внатрешна единица","Тип на монтажа: На ѕид","Далечинско управување: Далечински управувач","Препорачана употребна површина: 12-24","Работна температура во режим на греење : -22- 24","Опсег на работна температура во режим на ладење: -15 - 43","Опсег на поставување на температура: 16-30","Компактен дизајн","Копче за рачно управување","Режим на работа: Инвертер","Разладно средство: R32","Меморија на позицијата на насочувачите","Двоен одвод на кондензатот: Лево или десно","EER: 3,93","Енергетска класа - греење: A+++","Брзина на надворешниот вентилатор: 3","Брзина на внатрешниот вентилатор: 7","Моќност за ладење (BTU/h): 12000","Моќност за ладење (BTU/h): 12000","Далечински управувач како собен термостат","Скриен ЛЕД дисплеј","Затемнување на екран","Само-дијагностика","Автоматски внатрешен вентилатор","Просечна грејна моќност (Pdesignh) - просечна грејна сезона: 2,8 kW","Деклариран капацитет (Pdh(Tj)) - просечна грејна сезона: 2,8 kW","Моќност за ладење: 3,5 kW","Капацитет на одвлажнување: 1,2 L/h","Дијаметар на кондензациската цевка: 18 mm","4 во 1 филтер - витамин Ц, катехин, сребрени јони, ХЕПА, активен јаглен","Автоматско работење","Автоматско повторно вклучување (при прекин на електрична енергија)","Функција за самочистење","Заштита од замрзнување","Ноќен режим на работа - Night mode","Турбо функција","Ладење","Греење","Функција за отстранување на влага","Вентилирање - проветрување","Тајмер 24h","Паметна гласовна контрола","Hi-nano Генератор","Приклучна моќ(V): 220-240 V","Минимална јачина на звукот: 56 dB(A)re1pW","Грејна моќност: 3.900 W","Потрошувачка на електрична енергија во режим на мирување: 1 W","Фреквенција: 50 Hz","Разладна моќност: 3.500 W","Полнење на фреон: 0,8 gr","Минимален звучен притисок: 31 dB(A)2x10-5Pa","Максимален звучен притисок: 40 dB(A)2x10-5Pa","Потрошувачка на ел. енергија при греење: 1.000 W","Потрошувачка на ел. енергија при ладење: 890 W","Греач на надворешна единица","Минимален проток на воздух: 350 m?","Проток на воздухот: 580 m?","Цевка за течност: 6,35 mm","Дијаметар на цевката за разладен медиум: 9,53 mm","Максимална должина на цевките: 15 m","Максимална висинска разлика: 8 m","Номинална вредност на струјата при ладење: 4 A","Номинална вредност на струјата при греење: 4,5 A","Сооднос SEER - ладење: 8,5","Сооднос SCOP - греење: 4,6","Коефициент COP: 3,9","Минимален звучен притисок: 31 dB(A)2x10-5Pa","Максимален звучен притисок: 40 dB(A)2x10-5Pa","Wi-Fi управување: Вградено","Димензии (ШxВxД): 79,8 ? 25,6 ? 19,1 cm","Димензии на амбалажата (ШxВxД): 85 ? 32 ? 26 cm","Нето тежина на апаратот: 7,6 kg","Бруто тежина на апаратот: 8,88 kg","Потрошувачка на електрична енергија во режим на мирување: 1 W","Осигурувач: 5 A","Код: 20003818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima VIVAX ACP-12CH35AEHI+ R32 SILVER A+++ 12-ka Inverter","33999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/118778/1.webp","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A+++ (8.5/4.6)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:4308.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4396.00 W","ПРОСЕЧНА МОЌНОСТ:3517/3810 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:900 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:950 W","ПРОТОК НА ВОЗДУХ:700.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.20 l/h","НИВО НА БУЧАВА:40.00 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -25 ? ДО 50 ?","МАСА ВНАТРЕШНА ЕДИНИЦА:11.30 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:26.40 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 40 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина, био филтер","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:765 X 303 X 555 mm","ГАРАНЦИЈА:5 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima VOX IJL18-SC4DWH Inverter","34900.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9991290/1.webp","ЕНЕРГЕТСКА КЛАСА A++/A+","BTU 18000","КАПАЦИТЕТ ЗА ЛАДЕЊЕ, KW 5,30","КАПАЦИТЕТ ЗА ГРЕЕЊЕ, KW 5,60","НОМИНАЛНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 1,58","НОМИНАЛНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 1,55","ГОДИШНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 265","ГОДИШНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 1470","СЕЗОНСКИ СООДНОС НА ЕНЕРГЕТСКА ЕФИКАСНОСТ ПРИ ЛАДЕЊЕ SEER 6,19","СЕЗОНСКИ КОЕФИЦИЕНТ НА ПЕРФОРМАНСИ ВО ГРЕЕЊЕ SCOP 4,19","РАБОТНА ТЕМПЕРАТУРА, °C -15°C to +49°C","ЦИРКУЛАЦИЈА НА ВОЗДУХ, M?/H 600","БУЧАВА – ВНАТРЕШНА ЕДИНИЦА, DB(A) 53","БУЧАВА – НАДВОРЕШНА ЕДИНИЦА, DB(A) 62","ДИМЕНЗИИ НА ВНАТРЕШНА ЕДИНИЦА Ш X В X Д, MM 940 x 316 x 224","ДИМЕНЗИИ НА НАДВОРЕШНА ЕДИНИЦА Ш X В X Д, MM 785 x 555 x 300","TEЖИНА НА ВНАТРЕШНА ЕДИНИЦА, KG 11,5","ТЕЖИНА НА НАДВОРЕШНА ЕДИНИЦА, KG 28","ДОПОЛНИТЕЛНИ ИНФОРМАЦИИ Wi-Fi integrated","4D Air Flow","Грејач на надворенашнта единица","AutoCleaning","DeepSleep","Брзо ладење и греење","DryingMode","Голем домет на климатизираниот воздух","Флексибилна инсталација","Интелигентно одмрзнување","Самочитење на надворешната единица","Inverter","Тајмер","Повеќекратна заштита","ГАРАНЦИЈА 60 месеци","ДОКУМЕНТИ Енергетска класа","Список со информации за производот","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima DIPLOMAT DAW-180 Smart Winter Inverter A++ Wi-Fi -25°C Greac Healty Filte","37999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9993849/1.webp","Тип: Инвертор;","Контрола: Далечински;","Моќност во режим на ладење: 5100W;","Моќност во режим на греење: 5130W;","Wi-Fi контрола;","Автоматско рестартирање;","Паметен проток на воздух;","Лесен за чистење филтер;","Интелигентно одмрзнување;","Тајмер;","Греач на надворешна единица","Healthy филтер","Режим на спиење;","Самочистење;","SEER: 6.1;","Енергетска класа: A+++;","SCOP медиум: 4.0;","Отстранување на влага: 1,5L/час;","Опсег на надворешна температура (греење): -25-30°C;","Напон: 220-240V/50Hz;","Напојување: надворешен;","Потрошувачка на енергија во режим на ладење: 1574W;","Потрошувачка на енергија во режим на греење: 1382W;","Фреон: R32;","Димензии на внатрешната единица (WxHxD): 920x306x195mm;","Димензии на надворешниот уред (WxHxD): 853x602x349mm;","Нето тежина на внатрешната единица: 11кг;","Нето тежина на надворешната единица: 35кг;","Големина на пакетот на внатрешната единица: 990x380x265mm;","Големина на пакетот на надворешниот уред: 890x628x385mm;","Бруто тежина на внатрешната единица: 13кг;","Бруто тежина на надворешниот уред (без цевки): 38кг;","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima HOOBART HBTC24INV-WMSE2 24-ka Inverter -25 A++/A+","36999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/47013263/1.webp","Инвертер клима уред","Капацитет ладење/греење: 7.1kW","Годишна потрошувачка на енергија за ладење:377kWh","Годишна потрошувачка на енергија за греење:1715kWh","Енергетска класа на ладење:А++","Енергетска класа на греење:А+","Циркулација на воздух: 1000m3/h","Ниво на бучава:58dB","Работна температура: ладење(-15 - 53)/греење(-25 - 30)","R32 еколошки фреон","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
